X [$\mu$m],Mean
-3.048380664062500000e+04,0.000000000000000000e+00
-2.987050195312500000e+04,0.000000000000000000e+00
-2.925719726562500000e+04,5.705219507217407227e-01
-2.864389062500000000e+04,0.000000000000000000e+00
-2.803058593750000000e+04,1.637158632278442383e+00
-2.741728125000000000e+04,2.204873561859130859e-01
-2.680397656250000000e+04,8.615798950195312500e-01
-2.619067187500000000e+04,1.596505522727966309e+00
-2.557736718750000000e+04,1.446042656898498535e+00
-2.496406054687500000e+04,3.403115272521972656e+00
-2.435075585937500000e+04,4.680726051330566406e+00
-2.373745117187500000e+04,5.173305988311767578e+00
-2.312414648437500000e+04,2.999273777008056641e+00
-2.251083984375000000e+04,7.117263317108154297e+00
-2.189753515625000000e+04,7.821805953979492188e+00
-2.128423046875000000e+04,1.179568099975585938e+01
-2.067092578125000000e+04,1.240057373046875000e+01
-2.005762109375000000e+04,9.549674034118652344e+00
-1.944431640625000000e+04,1.193622970581054688e+01
-1.883101171875000000e+04,1.893093490600585938e+01
-1.821770507812500000e+04,1.310133361816406250e+01
-1.760440039062500000e+04,1.294389343261718750e+01
-1.699109570312500000e+04,1.523295783996582031e+01
-1.637779003906250000e+04,1.519145965576171875e+01
-1.576448535156250000e+04,1.708701705932617188e+01
-1.515118066406250000e+04,1.628112220764160156e+01
-1.453787500000000000e+04,1.280652332305908203e+01
-1.392457031250000000e+04,1.351599884033203125e+01
-1.331126562500000000e+04,1.251405143737792969e+01
-1.269796093750000000e+04,1.676893234252929688e+01
-1.208465429687500000e+04,2.118650245666503906e+01
-1.147134960937500000e+04,1.335454654693603516e+01
-1.085804492187500000e+04,1.673321342468261719e+01
-1.024474023437500000e+04,1.480660820007324219e+01
-9.631435546875000000e+03,1.775174331665039062e+01
-9.018128906250000000e+03,1.736559867858886719e+01
-8.404824218750000000e+03,1.526458930969238281e+01
-7.791519531250000000e+03,1.814118003845214844e+01
-7.178214843750000000e+03,1.492922210693359375e+01
-6.564910156250000000e+03,1.395779323577880859e+01
-5.951603515625000000e+03,1.907830429077148438e+01
-5.338298828125000000e+03,2.067470169067382812e+01
-4.724994140625000000e+03,1.890237045288085938e+01
-4.111689453125000000e+03,1.883795356750488281e+01
-3.498384765625000000e+03,1.357309246063232422e+01
-2.885080078125000000e+03,1.734218406677246094e+01
-2.271773437500000000e+03,2.016358375549316406e+01
-1.658468750000000000e+03,2.192512321472167969e+01
-1.045164062500000000e+03,1.567822360992431641e+01
-4.318593750000000000e+02,1.626231002807617188e+01
1.814453125000000000e+02,1.820872688293457031e+01
7.947519531250000000e+02,1.455364418029785156e+01
1.408056640625000000e+03,1.961093521118164062e+01
2.021361328125000000e+03,1.554248619079589844e+01
2.634666015625000000e+03,2.793515014648437500e+01
3.247970703125000000e+03,1.677346038818359375e+01
3.861275390625000000e+03,1.735764884948730469e+01
4.474580078125000000e+03,1.700663757324218750e+01
5.087884765625000000e+03,1.454350852966308594e+01
5.701193359375000000e+03,2.064625740051269531e+01
6.314498046875000000e+03,1.581305313110351562e+01
6.927802734375000000e+03,1.808552551269531250e+01
7.541107421875000000e+03,1.689489746093750000e+01
8.154412109375000000e+03,1.562368392944335938e+01
8.767716796875000000e+03,1.790921783447265625e+01
9.381021484375000000e+03,1.570543479919433594e+01
9.994326171875000000e+03,1.682067298889160156e+01
1.060763085937500000e+04,1.409307670593261719e+01
1.122093554687500000e+04,1.113300895690917969e+01
1.183424023437500000e+04,1.743712425231933594e+01
1.244754882812500000e+04,1.458442020416259766e+01
1.306085351562500000e+04,1.528467845916748047e+01
1.367415820312500000e+04,1.849372863769531250e+01
1.428746289062500000e+04,1.967044067382812500e+01
1.490076757812500000e+04,1.880128669738769531e+01
1.551407226562500000e+04,1.729618263244628906e+01
1.612737695312500000e+04,1.691328620910644531e+01
1.674068164062500000e+04,1.750897216796875000e+01
1.735398632812500000e+04,1.675374221801757812e+01
1.796729101562500000e+04,1.775850486755371094e+01
1.858059960937500000e+04,1.178565216064453125e+01
1.919390429687500000e+04,9.756803512573242188e+00
1.980720898437500000e+04,7.738143920898437500e+00
2.042051367187500000e+04,7.093645095825195312e+00
2.103381835937500000e+04,4.791667461395263672e+00
2.164712304687500000e+04,6.488295555114746094e+00
2.226042773437500000e+04,2.540788888931274414e+00
2.287373242187500000e+04,5.501420497894287109e+00
2.348703710937500000e+04,1.040843248367309570e+00
2.410034179687500000e+04,2.154162168502807617e+00
2.471364648437500000e+04,1.982168078422546387e+00
2.532695507812500000e+04,2.120774704962968826e-03
2.594025976562500000e+04,1.383220911026000977e+00
2.655356445312500000e+04,3.756638383492827415e-03
2.716686914062500000e+04,5.888053178787231445e-01
2.778017382812500000e+04,5.162888169288635254e-01
2.839347851562500000e+04,0.000000000000000000e+00
2.900678320312500000e+04,0.000000000000000000e+00
2.962008789062500000e+04,0.000000000000000000e+00
3.023339257812500000e+04,0.000000000000000000e+00
