BEATS @ SESAME; 250mA;,,,,
source_DE: 4% BW,,,,
3PW flux in 1mrad of Hor. acceptance angle,,,,
,,,,
E,E0,E1,Intensity in 1mrad,n. rays
[eV],[eV],[eV],,
5000,4900,5100,1.22E+05,2.00E+06
10000,9800,10200,1.91E+05,2.00E+06
15000,14700,15300,2.39E+05,2.00E+06
20000,19600,20400,2.72E+05,2.00E+06
25000,24500,25500,3.01E+05,2.00E+06
30000,29400,30600,3.24E+05,2.00E+06
35000,34300,35700,3.48E+05,2.00E+06
40000,39200,40800,3.69E+05,2.00E+06
45000,44100,45900,3.89E+05,2.00E+06
50000,49000,51000,4.07E+05,2.00E+06
