BEATS @ SESAME; 250mA; sample @ 43m,,,,,,,,,,
Primary Slit: OPEN (flux through 4x5mm pinhole @ sample),,,,,,,,,DMM length [mm]:,480
DMM Si[W/B4C]100; d=2.5nm; d-gradient=3.3%; dE/E=1.8%,,,,,,,,,,
source_dE/E,4,%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E,E0,E1,theta,Itot,X,Y,I,I_1,n. rays,BW
18000,17640,18360,0.8080997,1750000000000,4,5,87700000000,5480000000,2000000,1.6
20000,19600,20400,0.7274501,1920000000000,4,5,95800000000,5910000000,2000000,1.62
25000,24500,25500,0.582148,2030000000000,4,5,102000000000,#DIV/0!,2000000,
30000,29400,30600,0.48525,1820000000000,4,5,91100000000,#DIV/0!,2000000,
35000,34300,35700,0.4159502,1510000000000,4,5,75700000000,#DIV/0!,2000000,
40000,39200,40800,0.3640001,1190000000000,4,5,59500000000,#DIV/0!,2000000,
45000,44100,45900,0.3235498,905000000000,4,5,45300000000,#DIV/0!,2000000,
50000,49000,51000,0.2912001,671000000000,4,5,33500000000,1970000000,2000000,1.7
55000,53900,56100,0.2647002,485000000000,4,5,24300000000,#DIV/0!,2000000,
60000,58800,61200,0.2426499,301000000000,4,5,15000000000,859000000,2000000,1.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DMM Si[Ru/B4C]65; d=4nm; d-gradient=3.4%; dE/E=2.3%,,,,,,,,,,
source_dE/E,8,%,,,,,,,,
,,,,,,,,,,
E,E0,E1,DMM incident angle,Flux @ sample,X,Y,Flux density @ sample,Flux density @ sample,n. rays,DMM BW
[eV],[eV],[eV],[deg],[ph/s],[mm],[mm],[ph/s/mm2],[ph/s/mm2/1%BW],,[%]
7000,6720,7280,1.3112483,1680000000000,4,5,83800000000,,2000000,3.9
8800,8448,9152,1.0436025,3770000000000,4,5,189000000000,,2000000,3.97
10600,10176,11024,0.8666502,5600000000000,4,5,280000000000,,2000000,4.04
12400,11904,12896,0.7410006,6710000000000,4,5,335000000000,,2000000,4.01
14200,13632,14768,0.6470527,7280000000000,4,5,364000000000,,2000000,3.82
16000,15360,16640,0.5742985,7560000000000,4,5,378000000000,,2000000,
17800,17088,18512,0.5161502,7.42E+12,4,5,3.71E+11,,2000000,
19600,18816,20384,0.4686503,7130000000000,4,5,357000000000,,2000000,
21400,20544,22256,0.42895,5100000000000,4,5,255000000000,,2000000,
23200,22272,24128,0.3951501,3220000000000,4,5,161000000000,,2000000,
25000,24000,26000,0.3670499,3300000000000,4,5,165000000000,,2000000,
