BEATS @ SESAME; 250mA; White beam flux,,,,,,,
source_DE: 4% BW,,,,,,,
Primary Slit: OPEN (flux through 4x5mm pinhole @ sample),,,,,,,
,,,,,,,
E,E0,E1,I @ 43m,FWHM X,FWHM Z,I / mm2,n. rays
[eV],[eV],[eV],,[micron],FWHM Z [micron],,
1000,980,1020,1.32E+03,4000,5000,6.60E+01,5.00E+06
2000,1960,2040,2.43E+03,4000,5000,1.21E+02,5.00E+06
3000,2940,3060,3.53E+03,4000,5000,1.76E+02,5.00E+06
4000,3920,4080,4.84E+03,4000,5000,2.42E+02,5.00E+06
5000,4900,5100,6.29E+03,4000,5000,3.14E+02,5.00E+06
6000,5880,6120,7.74E+03,4000,5000,3.87E+02,5.00E+06
7000,6860,7140,9.12E+03,4000,5000,4.56E+02,5.00E+06
8000,7840,8160,1.08E+04,4000,5000,5.40E+02,5.00E+06
10000,9800,10200,1.36E+04,4000,5000,6.78E+02,5.00E+06
12000,11760,12240,1.68E+04,4000,5000,8.38E+02,5.00E+06
15000,14700,15300,2.06E+04,4000,5000,1.03E+03,5.00E+06
20000,19600,20400,2.73E+04,4000,5000,1.36E+03,5.00E+06
25000,24500,25500,3.35E+04,4000,5000,1.68E+03,5.00E+06
30000,29400,30600,3.97E+04,4000,5000,1.98E+03,5.00E+06
35000,34300,35700,4.52E+04,4000,5000,2.26E+03,5.00E+06
40000,39200,40800,5.04E+04,4000,5000,2.52E+03,5.00E+06
45000,44100,45900,5.55E+04,4000,5000,2.77E+03,5.00E+06
50000,49000,51000,6.08E+04,4000,5000,3.04E+03,5.00E+06
,,,,,,,
Primary Slit: 1mm (flux through 4x5mm pinhole @ sample),,,,,,,
,,,,,,,
E,E0,E1,I @ 43m,FWHM X,FWHM Z,I / mm2,n. rays
[eV],[eV],[eV],,[micron],FWHM Z [micron],,
5000,4900,5100,3.30E+03,4000,5000,1.65E+02,5.00E+06
10000,9800,10200,7.07E+03,4000,5000,3.54E+02,5.00E+06
15000,14700,15300,1.07E+04,4000,5000,5.35E+02,5.00E+06
20000,19600,20400,1.43E+04,4000,5000,7.13E+02,5.00E+06
25000,24500,25500,1.73E+04,4000,5000,8.65E+02,5.00E+06
30000,29400,30600,2.05E+04,4000,5000,1.02E+03,5.00E+06
35000,34300,35700,2.36E+04,4000,5000,1.18E+03,5.00E+06
40000,39200,40800,2.60E+04,4000,5000,1.30E+03,5.00E+06
45000,44100,45900,2.90E+04,4000,5000,1.45E+03,5.00E+06
50000,49000,51000,3.18E+04,4000,5000,1.59E+03,5.00E+06
,,,,,,,
Primary Slit: 0.5mm (flux through 4x5mm pinhole @ sample),,,,,,,
,,,,,,,
E,E0,E1,I @ 43m,FWHM X,FWHM Z,I / mm2,n. rays
[eV],[eV],[eV],,[micron],FWHM Z [micron],,
5000,4900,5100,1.75E+03,4000,5000,8.77E+01,5.00E+06
10000,9800,10200,3.77E+03,4000,5000,1.88E+02,5.00E+06
15000,14700,15300,5.63E+03,4000,5000,2.81E+02,5.00E+06
20000,19600,20400,7.65E+03,4000,5000,3.82E+02,5.00E+06
25000,24500,25500,9.18E+03,4000,5000,4.59E+02,5.00E+06
30000,29400,30600,1.09E+04,4000,5000,5.47E+02,5.00E+06
35000,34300,35700,1.25E+04,4000,5000,6.27E+02,5.00E+06
40000,39200,40800,1.38E+04,4000,5000,6.92E+02,5.00E+06
45000,44100,45900,1.54E+04,4000,5000,7.68E+02,5.00E+06
50000,49000,51000,1.68E+04,4000,5000,8.38E+02,5.00E+06
